Feature,Importance
HeightRange_radius6,0.04878682458313733
HeightVariance_radius6,0.047305079386507444
count_radius6,0.040827350491370394
count_radius5,0.039781448800334684
HeightRange_radius5,0.03627775636541629
verticality2_radius6,0.03579637389298193
curvature_radius4,0.02995342801993466
curvature_radius5,0.027408697044393297
verticality2_radius5,0.027406284541200254
HeightRange_radius4,0.027296816577089163
HeightVariance_radius4,0.02685198843382231
sphericity_radius5,0.026000062978830663
entropy_radius5,0.025827867964721335
sphericity_radius4,0.02554445637862917
HeightVariance_radius5,0.022369828862524845
curvature_radius6,0.020981228352153262
verticality2_radius4,0.01896500322025594
sphericity_radius6,0.018959713044007936
omnivariance_radius5,0.017973011427447925
HeightRange_radius3,0.017641825398234483
count_radius4,0.01760768017504336
verticality2_radius2,0.016230744158385133
planarity_radius6,0.01575401209947102
omnivariance_radius4,0.014701992640208411
omnivariance_radius6,0.01446161640039958
verticality2_radius3,0.0142811205224338
planarity_radius5,0.014190768016917871
planarity_radius3,0.014029052944591546
entropy_radius4,0.013325547812829078
EigenSum_radius5,0.013222554815501294
count_radius1,0.012904595660296855
planarity_radius4,0.012846921139615516
HeightVariance_radius3,0.012533165500254514
verticality1_radius6,0.012195600515235465
verticality2_radius1,0.011146493806862449
count_radius2,0.010830848059654202
count_radius3,0.010316973404220697
EigenSum_radius4,0.010239295025835959
verticality1_radius4,0.009994859329093799
entropy_radius6,0.009968512417368252
verticality1_radius5,0.009792741674581159
sphericity_radius3,0.009515234762552971
curvature_radius3,0.009445275488762709
HeightRange_radius2,0.009281907339076375
verticality1_radius3,0.009203209167367906
linearity_radius5,0.00845765910392475
EigenSum_radius6,0.008343771194065505
linearity_radius3,0.007204612516005757
linearity_radius6,0.007137953486695094
omnivariance_radius3,0.006970430861667637
entropy_radius3,0.006737010538768394
linearity_radius4,0.005927858759176575
HeightVariance_radius2,0.005413812654911044
verticality1_radius2,0.005088023681418983
planarity_radius2,0.0050471261935276035
EigenSum_radius3,0.00439516491243692
curvature_radius2,0.0038327067020731387
HeightRange_radius1,0.003456561569374037
HeightVariance_radius1,0.0034330639643434606
sphericity_radius2,0.003268369475864379
omnivariance_radius2,0.0027568050469772313
curvature_radius1,0.002741920151208309
linearity_radius2,0.0025699621821217837
linearity_radius1,0.0023770664176009696
sphericity_radius1,0.0023253866744853617
verticality1_radius1,0.0022544919514736056
omnivariance_radius1,0.0020898199356558338
planarity_radius1,0.0019217388019052918
entropy_radius2,0.0017079931819915877
EigenSum_radius2,0.001653873778576371
entropy_radius1,0.0016045285662247377
EigenSum_radius1,0.0013065190579725277
